,Data,Horário,Camp.,Rodada,Dia,Local,Resultado,GP,GC_x,Oponente,xG,xGA,Posse,Público,Capitão,Formação,Árbitro,Relatório da Partida,Notas,TC,CaG,Dist,FK,PB,PT_x,CaGC,GC_y,GC_y,Defesas,PT_y,GPC,Time
1,2023-04-15,16:00,Série A,Rodada da semana 1,sáb,Em casa,V,2,1,Cuiabá,3.0,1.0,52,35.835,Gustavo Gómez,4-2-3-1,Paulo Cesar Zanovelli da Silva,Relatório da Partida,,17,5,163.0,0.0,0,0,4,1,1,3,0,0,Palmeiras
3,2023-04-23,16:00,Série A,Rodada da semana 2,dom,Visitante,E,2,2,Vasco da Gama,0.7,1.4,64,59.867,Gustavo Gómez,4-2-3-1,Rafael Rodrigo Klein,Relatório da Partida,,13,7,217.0,2.0,0,0,3,2,2,1,0,0,Palmeiras
4,2023-04-29,18:30,Série A,Rodada da semana 3,sáb,Em casa,V,2,1,Corinthians,1.4,0.5,54,41.457,Gustavo Gómez,4-2-3-1,Wilton Sampaio,Relatório da Partida,,21,6,202.0,0.0,0,0,2,1,1,2,0,0,Palmeiras
6,2023-05-07,18:30,Série A,Rodada da semana 4,dom,Visitante,V,5,0,Goiás,2.0,0.7,57,13.789,Gustavo Gómez,3-4-3,Wagner do Nascimento Magalhães,Relatório da Partida,,17,7,158.0,1.0,0,0,4,0,0,4,0,0,Palmeiras
7,2023-05-10,21:30,Série A,Rodada da semana 5,qua,Em casa,V,4,1,Grêmio,3.8,0.1,59,37.532,Gustavo Gómez,4-2-3-1,Braulio da Silva Machado,Relatório da Partida,,27,9,190.0,2.0,1,1,2,1,1,1,0,0,Palmeiras
8,2023-05-13,18:30,Série A,Rodada da semana 6,sáb,Em casa,E,1,1,Bragantino,1.6,1.0,58,39.488,Gustavo Gómez,4-2-3-1,Savio Pereira,Relatório da Partida,,22,6,173.0,1.0,0,0,3,1,1,2,0,0,Palmeiras
9,2023-05-20,21:00,Série A,Rodada da semana 7,sáb,Visitante,E,0,0,Santos,0.4,0.4,61,12.641,Gustavo Gómez,4-2-3-1,Raphael Claus,Relatório da Partida,,11,1,244.0,0.0,0,0,4,0,0,4,0,0,Palmeiras
11,2023-05-28,18:30,Série A,Rodada da semana 8,dom,Visitante,E,1,1,Atlético Mineiro,1.1,0.8,43,53.236,Gustavo Gómez,4-2-3-1,Braulio da Silva Machado,Relatório da Partida,,11,2,189.0,1.0,0,0,4,1,1,3,0,0,Palmeiras
12,2023-06-04,18:30,Série A,Rodada da semana 9,dom,Em casa,V,3,1,Coritiba,2.5,0.6,51,33.57,Gustavo Gómez,4-2-3-1,Felipe Fernandes de Lima,Relatório da Partida,,23,8,162.0,1.0,0,0,4,1,1,3,0,0,Palmeiras
14,2023-06-11,16:00,Série A,Rodada da semana 10,dom,Visitante,V,2,0,São Paulo,0.7,1.4,35,56.871,Luan Garcia,4-2-3-1,Raphael Claus,Relatório da Partida,,10,4,196.0,0.0,0,0,6,0,0,6,0,0,Palmeiras
15,2023-06-21,21:30,Série A,Rodada da semana 11,qua,Visitante,D,0,1,Bahia,0.8,1.1,54,31.013,Gustavo Gómez,4-2-3-1,Wilton Sampaio,Relatório da Partida,,10,2,182.0,0.0,0,0,3,1,1,2,0,0,Palmeiras
16,2023-06-25,16:00,Série A,Rodada da semana 12,dom,Em casa,D,0,1,Botafogo (RJ),2.6,0.8,64,38.877,Gustavo Gómez,4-2-3-1,Anderson Daronco,Relatório da Partida,,14,4,172.0,0.0,0,1,2,1,1,1,0,0,Palmeiras
18,2023-07-02,16:00,Série A,Rodada da semana 13,dom,Visitante,E,2,2,Ath Paranaense,1.6,3.5,46,33.118,Gustavo Gómez,3-5-2,Jean Pierre Goncalves Lima,Relatório da Partida,,10,4,216.0,1.0,0,1,5,2,2,3,1,1,Palmeiras
19,2023-07-08,21:00,Série A,Rodada da semana 14,sáb,Em casa,E,1,1,Flamengo,1.1,0.8,44,,Gustavo Gómez,4-2-3-1,Ramon Abatti Abel,Relatório da Partida,,11,4,154.0,0.0,0,0,4,1,1,3,0,0,Palmeiras
20,2023-07-16,18:30,Série A,Rodada da semana 15,dom,Visitante,E,0,0,Internacional,1.4,0.5,53,41.823,Gustavo Gómez,4-3-3,Rodrigo José Pereira de Lima,Relatório da Partida,,16,5,198.0,2.0,0,0,4,0,0,4,0,0,Palmeiras
